id,weeks,prod,cust,scen,price
1,1,TOM_P,LA,1,0.32985
2,1,TOM_P,LA,2,0.677865
3,1,TOM_P,LA,3,0.83134
4,1,TOM_P,LA,4,1.36919
5,1,TOM_P,LA,5,0.708386
6,1,TOM_P,LV,1,0.240935
7,1,TOM_P,LV,2,0.554403
8,1,TOM_P,LV,3,0.592283
9,1,TOM_P,LV,4,1.0964
10,1,TOM_P,LV,5,0.656575
11,1,CEL_P,LA,1,0.162905
12,1,CEL_P,LA,2,0.1612
13,1,CEL_P,LA,3,0.293706
14,1,CEL_P,LA,4,0.166019
15,1,CEL_P,LA,5,0.47739
16,1,CEL_P,LV,1,0.168589
17,1,CEL_P,LV,2,0.181473
18,1,CEL_P,LV,3,0.300139
19,1,CEL_P,LV,4,0.196929
20,1,CEL_P,LV,5,0.432481
21,1,CUX_P,LA,1,0.136329
22,1,CUX_P,LA,2,0.168089
23,1,CUX_P,LA,3,0.180617
24,1,CUX_P,LA,4,0.223436
25,1,CUX_P,LA,5,0.150147
26,1,CUX_P,LV,1,0.100471
27,1,CUX_P,LV,2,0.151878
28,1,CUX_P,LV,3,0.138694
29,1,CUX_P,LV,4,0.167651
30,1,CUX_P,LV,5,0.125572
31,1,PEP_P,LA,1,0.385615
32,1,PEP_P,LA,2,0.583926
33,1,PEP_P,LA,3,0.874608
34,1,PEP_P,LA,4,0.681885
35,1,PEP_P,LA,5,0.630171
36,1,PEP_P,LV,1,0.304623
37,1,PEP_P,LV,2,0.467654
38,1,PEP_P,LV,3,0.764561
39,1,PEP_P,LV,4,0.565669
40,1,PEP_P,LV,5,0.525136
41,1,CAUL_P,LA,1,0.655498
42,1,CAUL_P,LA,2,0.680621
43,1,CAUL_P,LA,3,0.695315
44,1,CAUL_P,LA,4,0.670281
45,1,CAUL_P,LA,5,0.633008
46,1,CAUL_P,LV,1,0.594035
47,1,CAUL_P,LV,2,0.69435
48,1,CAUL_P,LV,3,0.665523
49,1,CAUL_P,LV,4,0.622168
50,1,CAUL_P,LV,5,0.637114
51,1,LET_P,LA,1,0.537844
