weeks,prod,cust,scen,price
1,CAUL_P,LA,1,0.739496
1,CAUL_P,LA,2,0.710842
1,CAUL_P,LA,3,0.687099
1,CAUL_P,LA,4,0.662787
1,CAUL_P,LA,5,0.641383
1,CAUL_P,LV,1,0.884124
1,CAUL_P,LV,2,0.726469
1,CAUL_P,LV,3,0.68216
1,CAUL_P,LV,4,0.624197
1,CAUL_P,LV,5,0.565985
1,CEL_P,LA,1,1.32169
1,CEL_P,LA,2,0.626146
1,CEL_P,LA,3,0.387251
1,CEL_P,LA,4,0.220096
1,CEL_P,LA,5,0.136658
1,CEL_P,LV,1,1.01796
1,CEL_P,LV,2,0.565772
1,CEL_P,LV,3,0.403376
1,CEL_P,LV,4,0.254064
1,CEL_P,LV,5,0.172614
1,CUX_P,LA,1,0.429797
1,CUX_P,LA,2,0.328717
1,CUX_P,LA,3,0.272328
1,CUX_P,LA,4,0.217675
1,CUX_P,LA,5,0.173238
1,CUX_P,LV,1,0.35
1,CUX_P,LV,2,0.254143
1,CUX_P,LV,3,0.201156
1,CUX_P,LV,4,0.157984
1,CUX_P,LV,5,0.119918
1,LET_P,LA,1,0.90267
1,LET_P,LA,2,0.792968
1,LET_P,LA,3,0.712942
1,LET_P,LA,4,0.63154
1,LET_P,LA,5,0.544182
1,LET_P,LV,1,0.8129
1,LET_P,LV,2,0.669805
1,LET_P,LV,3,0.589882
1,LET_P,LV,4,0.511523
1,LET_P,LV,5,0.444708
1,PEP_P,LA,1,1.59393
1,PEP_P,LA,2,1.26233
1,PEP_P,LA,3,0.958996
1,PEP_P,LA,4,0.767948
1,PEP_P,LA,5,0.599004
1,PEP_P,LV,1,1.60401
1,PEP_P,LV,2,1.12736
1,PEP_P,LV,3,0.839947
1,PEP_P,LV,4,0.641535
1,PEP_P,LV,5,0.472979
1,TOM_P,LA,1,5.68954
1,TOM_P,LA,2,3.64866
1,TOM_P,LA,3,2.13732
1,TOM_P,LA,4,1.31006
1,TOM_P,LA,5,0.902188
1,TOM_P,LV,1,4.36638
1,TOM_P,LV,2,2.81374
1,TOM_P,LV,3,1.72269
1,TOM_P,LV,4,1.06813
1,TOM_P,LV,5,0.649069
2,CAUL_P,LA,1,1.56656
2,CAUL_P,LA,2,1.12249
2,CAUL_P,LA,3,0.894864
2,CAUL_P,LA,4,0.686757
2,CAUL_P,LA,5,0.523919
2,CAUL_P,LV,1,1.22045
2,CAUL_P,LV,2,0.948478
2,CAUL_P,LV,3,0.799599
2,CAUL_P,LV,4,0.657276
2,CAUL_P,LV,5,0.544318
2,CEL_P,LA,1,2.28917
2,CEL_P,LA,2,1.06016
2,CEL_P,LA,3,0.603725
2,CEL_P,LA,4,0.285277
2,CEL_P,LA,5,0.150821
2,CEL_P,LV,1,1.48447
2,CEL_P,LV,2,0.78853
2,CEL_P,LV,3,0.520441
2,CEL_P,LV,4,0.294847
2,CEL_P,LV,5,0.185715
2,CUX_P,LA,1,0.486381
2,CUX_P,LA,2,0.385214
2,CUX_P,LA,3,0.307093
2,CUX_P,LA,4,0.232779
2,CUX_P,LA,5,0.186447
2,CUX_P,LV,1,0.407373
2,CUX_P,LV,2,0.317729
2,CUX_P,LV,3,0.242415
2,CUX_P,LV,4,0.177567
2,CUX_P,LV,5,0.1394
2,LET_P,LA,1,0.945446
2,LET_P,LA,2,0.809076
2,LET_P,LA,3,0.72095
2,LET_P,LA,4,0.625586
2,LET_P,LA,5,0.553615
2,LET_P,LV,1,1.0043
2,LET_P,LV,2,0.804325
2,LET_P,LV,3,0.661395
2,LET_P,LV,4,0.556861
2,LET_P,LV,5,0.457847
2,PEP_P,LA,1,1.32246
2,PEP_P,LA,2,1.05917
2,PEP_P,LA,3,0.843306
2,PEP_P,LA,4,0.664895
2,PEP_P,LA,5,0.544273
2,PEP_P,LV,1,1.44401
2,PEP_P,LV,2,1.11395
2,PEP_P,LV,3,0.831233
2,PEP_P,LV,4,0.604596
2,PEP_P,LV,5,0.454737
2,TOM_P,LA,1,11.311
2,TOM_P,LA,2,3.57627
2,TOM_P,LA,3,2.12872
2,TOM_P,LA,4,1.30185
2,TOM_P,LA,5,0.74331
2,TOM_P,LV,1,5.68261
2,TOM_P,LV,2,2.32928
2,TOM_P,LV,3,1.54195
2,TOM_P,LV,4,0.977858
2,TOM_P,LV,5,0.642152
3,CAUL_P,LA,1,1.35667
3,CAUL_P,LA,2,1.06465
3,CAUL_P,LA,3,0.90915
3,CAUL_P,LA,4,0.654993
3,CAUL_P,LA,5,0.517566
3,CAUL_P,LV,1,0.999379
3,CAUL_P,LV,2,0.84072
3,CAUL_P,LV,3,0.762445
3,CAUL_P,LV,4,0.64034
3,CAUL_P,LV,5,0.562311
3,CEL_P,LA,1,2.86742
3,CEL_P,LA,2,1.31397
3,CEL_P,LA,3,0.526086
3,CEL_P,LA,4,0.232765
3,CEL_P,LA,5,0.0987273
3,CEL_P,LV,1,1.99955
3,CEL_P,LV,2,0.978568
3,CEL_P,LV,3,0.507206
3,CEL_P,LV,4,0.277898
3,CEL_P,LV,5,0.148821
3,CUX_P,LA,1,0.611873
3,CUX_P,LA,2,0.455027
3,CUX_P,LA,3,0.338699
3,CUX_P,LA,4,0.240286
3,CUX_P,LA,5,0.176139
3,CUX_P,LV,1,0.536861
3,CUX_P,LV,2,0.390912
3,CUX_P,LV,3,0.284687
3,CUX_P,LV,4,0.205073
3,CUX_P,LV,5,0.151162
3,LET_P,LA,1,0.906095
3,LET_P,LA,2,0.758521
3,LET_P,LA,3,0.684643
3,LET_P,LA,4,0.592649
3,LET_P,LA,5,0.513528
3,LET_P,LV,1,0.824483
3,LET_P,LV,2,0.655427
3,LET_P,LV,3,0.571293
3,LET_P,LV,4,0.486809
3,LET_P,LV,5,0.410415
3,PEP_P,LA,1,1.51637
3,PEP_P,LA,2,1.13273
3,PEP_P,LA,3,0.838884
3,PEP_P,LA,4,0.602104
3,PEP_P,LA,5,0.448334
3,PEP_P,LV,1,1.39617
3,PEP_P,LV,2,0.954074
3,PEP_P,LV,3,0.703776
3,PEP_P,LV,4,0.507599
3,PEP_P,LV,5,0.365802
3,TOM_P,LA,1,4.01336
3,TOM_P,LA,2,2.41017
3,TOM_P,LA,3,1.38071
3,TOM_P,LA,4,0.815647
3,TOM_P,LA,5,0.539432
3,TOM_P,LV,1,2.83722
3,TOM_P,LV,2,1.91527
3,TOM_P,LV,3,1.11405
3,TOM_P,LV,4,0.709928
3,TOM_P,LV,5,0.481842
4,CAUL_P,LA,1,1.28468
4,CAUL_P,LA,2,1.03555
4,CAUL_P,LA,3,0.811184
4,CAUL_P,LA,4,0.64629
4,CAUL_P,LA,5,0.51344
4,CAUL_P,LV,1,1.02356
4,CAUL_P,LV,2,0.87173
4,CAUL_P,LV,3,0.738583
4,CAUL_P,LV,4,0.628336
4,CAUL_P,LV,5,0.541123
4,CEL_P,LA,1,2.00743
4,CEL_P,LA,2,1.21244
4,CEL_P,LA,3,0.45798
4,CEL_P,LA,4,0.234893
4,CEL_P,LA,5,0.0962102
4,CEL_P,LV,1,1.64405
4,CEL_P,LV,2,0.996303
4,CEL_P,LV,3,0.480929
4,CEL_P,LV,4,0.243098
4,CEL_P,LV,5,0.125195
4,CUX_P,LA,1,0.362505
4,CUX_P,LA,2,0.285881
4,CUX_P,LA,3,0.234957
4,CUX_P,LA,4,0.18715
4,CUX_P,LA,5,0.152612
4,CUX_P,LV,1,0.460958
4,CUX_P,LV,2,0.339298
4,CUX_P,LV,3,0.25372
4,CUX_P,LV,4,0.186703
4,CUX_P,LV,5,0.128232
4,LET_P,LA,1,0.83939
4,LET_P,LA,2,0.718887
4,LET_P,LA,3,0.588578
4,LET_P,LA,4,0.491683
