Prod,Scen,CostTransportation
CAUL_P,0,4984346.912765373
CEL_P,0,1453.3051579067999
CUX_P,0,1831.8929432099999
LET_P,0,875.842250604
PEP_P,0,0
TOM_P,0,0
CAUL_P,1,1439223.1322516433
CEL_P,1,1605.5072285082003
CUX_P,1,1819.7765580900002
LET_P,1,1282.9756608300002
PEP_P,1,210.33171909000004
TOM_P,1,0
CAUL_P,2,7924668.145675447
CEL_P,2,1632.6349860471003
CUX_P,2,1766.95155924
LET_P,2,1386.8148138899999
PEP_P,2,0
TOM_P,2,0
CAUL_P,3,4820457.411968523
CEL_P,3,1882.6082208026999
CUX_P,3,1440.53440734
LET_P,3,1072.428896382
PEP_P,3,0
TOM_P,3,0
CAUL_P,4,6466300.048503409
CEL_P,4,1536.5554915944
CUX_P,4,1852.2254679599998
LET_P,4,315.31751828999995
PEP_P,4,0
TOM_P,4,0
