Prod,Scen,CostLogistic
CAUL_P,0,12.906563977439784
CEL_P,0,7.563285210272102
CUX_P,0,12.995410992897996
LET_P,0,6.547784835945341
PEP_P,0,2.8438093375677687
TOM_P,0,3.343651142312403
CAUL_P,1,15.855998312693735
CEL_P,1,5.7472081869710445
CUX_P,1,13.072289687629356
LET_P,1,4.417770832756627
PEP_P,1,3.089401629178597
TOM_P,1,5.0114799818879
CAUL_P,2,8.023887978262973
CEL_P,2,14.812236198335508
CUX_P,2,17.72008879381777
LET_P,2,7.63812229878652
PEP_P,2,3.730595815448454
TOM_P,2,2.9529191897704834
CAUL_P,3,13.505583242579945
CEL_P,3,9.426651724686037
CUX_P,3,17.26741933367506
LET_P,3,9.7129659611771
PEP_P,3,3.0218640174375113
TOM_P,3,4.989027064732294
CAUL_P,4,15.572150736594125
CEL_P,4,8.667044740008151
CUX_P,4,95.80886729144542
LET_P,4,60.82391884866285
PEP_P,4,43.37946754279957
TOM_P,4,31.489786343114666
