Crop,Loc,CostPlant
CAUL,Albuquerque,47520.2608070129
CAUL,Aspen,0
CAUL,Las_Cruces,25674.615559836584
CAUL,Phoenix,18191.060416228782
CAUL,Tucson,11683.036222315292
CAUL,Yuma,1385.9999999999607
CEL,Albuquerque,0
CEL,Aspen,0
CEL,Las_Cruces,0
CEL,Phoenix,0
CEL,Tucson,0
CEL,Yuma,0
CUX,Albuquerque,0
CUX,Aspen,0
CUX,Las_Cruces,0
CUX,Phoenix,0
CUX,Tucson,0
CUX,Yuma,0
LET,Albuquerque,62227.9388014828
LET,Aspen,0
LET,Las_Cruces,32981.2950079579
LET,Phoenix,77239.14311959485
LET,Tucson,0
LET,Yuma,0
PEP,Albuquerque,0
PEP,Aspen,0
PEP,Las_Cruces,0
PEP,Phoenix,0
PEP,Tucson,0
PEP,Yuma,0
TOM,Albuquerque,8168.814620872999
TOM,Aspen,20110
TOM,Las_Cruces,0
TOM,Phoenix,0
TOM,Tucson,43378.63936285999
TOM,Yuma,58319.00000000006
