Prod,Scen,CostTransportation
CAUL_P,0,2124069.3097003507
CEL_P,0,1665.8928116177754
CUX_P,0,1322.1347589518966
LET_P,0,239.70189629774492
PEP_P,0,414.49097413551897
TOM_P,0,404.45840361987393
CAUL_P,1,1157534.6971016838
CEL_P,1,1414.6624061635594
CUX_P,1,971.3644573679546
LET_P,1,423.8267929203061
PEP_P,1,270.72637723565487
TOM_P,1,853.9050662071925
CAUL_P,2,3780239.670126936
CEL_P,2,1718.6417553851363
CUX_P,2,1288.262836379232
LET_P,2,506.0254560778328
PEP_P,2,212.7469260450317
TOM_P,2,677.8892928707501
CAUL_P,3,2589460.798134561
CEL_P,3,2091.368269057445
CUX_P,3,1294.660341513135
LET_P,3,552.312318719861
PEP_P,3,493.31832141342966
TOM_P,3,338.8856112084515
CAUL_P,4,4496202.939715996
CEL_P,4,1604.5454452224287
CUX_P,4,756.0671554158963
LET_P,4,372.50520146761767
PEP_P,4,316.24696101422893
TOM_P,4,510.97389023746416
