Prod,Scen,Income
CAUL_P,0,864680.157506461
CEL_P,0,176250.4655419352
CUX_P,0,221017.56444654858
LET_P,0,52484.11658768482
PEP_P,0,80472.08502456022
TOM_P,0,70948.11134948448
CAUL_P,1,1353782.3425044548
CEL_P,1,162079.44239415403
CUX_P,1,188109.16063006184
LET_P,1,127625.3123778731
PEP_P,1,91846.28266800487
TOM_P,1,318517.52623182844
CAUL_P,2,1230662.6581995091
CEL_P,2,388396.63534992095
CUX_P,2,303575.5038707422
LET_P,2,114215.45849684834
PEP_P,2,100161.41185594596
TOM_P,2,273582.61719825916
CAUL_P,3,1171043.6472760297
CEL_P,3,231373.25051055005
CUX_P,3,364732.27708919405
LET_P,3,120640.31042751895
PEP_P,3,161304.52778833968
TOM_P,3,297970.23054122494
CAUL_P,4,1174734.5822412767
CEL_P,4,481711.20945112756
CUX_P,4,133500.50753588742
LET_P,4,109943.96407558062
PEP_P,4,111644.37831609846
TOM_P,4,222633.91170727526
