Loc,Crop,LandAllocated
Albuquerque,CAUL,34.28590245816227
Albuquerque,CEL,0
Albuquerque,CUX,0
Albuquerque,LET,21.65203159411371
Albuquerque,PEP,0
Albuquerque,TOM,4.062065947724017
Aspen,CAUL,0
Aspen,CEL,0
Aspen,CUX,0
Aspen,LET,0
Aspen,PEP,0
Aspen,TOM,10
Las_Cruces,CAUL,18.524253650675746
Las_Cruces,CEL,0
Las_Cruces,CUX,0
Las_Cruces,LET,11.475746349324254
Las_Cruces,PEP,0
Las_Cruces,TOM,0
Phoenix,CAUL,13.12486321517228
Phoenix,CEL,0
Phoenix,CUX,0
Phoenix,LET,26.875136784827717
Phoenix,PEP,0
Phoenix,TOM,0
Tucson,CAUL,8.429319063719547
Tucson,CEL,0
Tucson,CUX,0
Tucson,LET,0
Tucson,PEP,0
Tucson,TOM,21.570680936280453
Yuma,CAUL,0.9999999999999716
Yuma,CEL,0
Yuma,CUX,0
Yuma,LET,0
Yuma,PEP,0
Yuma,TOM,29.00000000000003
