Prod,Scen,CostLogistic
CAUL_P,0,5.84201084050285
CEL_P,0,6.629848321289797
CUX_P,0,3.020819727007213
LET_P,0,1.7328465833696813
PEP_P,0,10.902345265701523
TOM_P,0,6.1382341374641065
CAUL_P,1,6.268558486825775
CEL_P,1,5.311090614260137
CUX_P,1,3.9075962905032755
LET_P,1,3.388811125564251
PEP_P,1,10.086629773726214
TOM_P,1,6.500616797805007
CAUL_P,2,4.898482218181819
CEL_P,2,1.9969592949763069
CUX_P,2,7.313193455874259
LET_P,2,11.175575741950551
PEP_P,2,7.419935422154012
TOM_P,2,2.8595646259378826
CAUL_P,3,5.549513107237449
CEL_P,3,2.38564909514067
CUX_P,3,4.653598915399204
LET_P,3,13.106084000003541
PEP_P,3,6.546743892406682
TOM_P,3,4.210734832288641
CAUL_P,4,4.196877476363636
CEL_P,4,2.6716905956468175
CUX_P,4,13.40780094655863
LET_P,4,7.003191376782566
PEP_P,4,4.36382113018338
TOM_P,4,1.765232530909091
