Crop,Loc,CostPlant
CAUL,Albuquerque,10355.775037677293
CAUL,Aspen,0
CAUL,Las_Cruces,0
CAUL,Phoenix,2860.2762917174814
CAUL,Tucson,0
CAUL,Yuma,0
CEL,Albuquerque,0
CEL,Aspen,0
CEL,Las_Cruces,0
CEL,Phoenix,0
CEL,Tucson,100800
CEL,Yuma,0
CUX,Albuquerque,123167.40885656324
CUX,Aspen,0
CUX,Las_Cruces,73290
CUX,Phoenix,92678.40188985152
CUX,Tucson,0
CUX,Yuma,73290
LET,Albuquerque,6069.43400938092
LET,Aspen,0
LET,Las_Cruces,0
LET,Phoenix,0
LET,Tucson,0
LET,Yuma,0
PEP,Albuquerque,0
PEP,Aspen,0
PEP,Las_Cruces,0
PEP,Phoenix,0
PEP,Tucson,0
PEP,Yuma,0
TOM,Albuquerque,0
TOM,Aspen,20110
TOM,Las_Cruces,0
TOM,Phoenix,0
TOM,Tucson,0
TOM,Yuma,0
