Prod,Scen,Income
CAUL_P,0,521671.33237631386
CEL_P,0,111515.3729583138
CUX_P,0,319810.4310677536
LET_P,0,998753.5393691483
PEP_P,0,60839.38213569693
TOM_P,0,0
CAUL_P,1,632467.034472312
CEL_P,1,188583.1727794655
CUX_P,1,1202198.7108313444
LET_P,1,526996.1372809394
PEP_P,1,71502.47663480819
TOM_P,1,0
CAUL_P,2,631208.0836734775
CEL_P,2,142742.76852714288
CUX_P,2,1123648.211421236
LET_P,2,308773.4794389734
PEP_P,2,39365.91784620227
TOM_P,2,0
CAUL_P,3,583983.5298877041
CEL_P,3,99358.01673060255
CUX_P,3,765757.2483769432
LET_P,3,424735.3864026204
PEP_P,3,31049.481811639114
TOM_P,3,0
CAUL_P,4,583197.0981937365
CEL_P,4,163215.28446717237
CUX_P,4,74674.19472529163
LET_P,4,1302685.853523145
PEP_P,4,71539.89838650897
TOM_P,4,0
