Prod,Scen,CostLogistic
CAUL_P,0,2.3498168555040455
CEL_P,0,1.5883369585605458
CUX_P,0,16.773564512901707
LET_P,0,13.551099584898205
PEP_P,0,6.750592414583898
TOM_P,0,4.31916684598667
CAUL_P,1,6.236562964856158
CEL_P,1,3.756928247784983
CUX_P,1,9.703245980811433
LET_P,1,10.316325921672727
PEP_P,1,6.45481856217263
TOM_P,1,6.1266104132119
CAUL_P,2,4.411833672348275
CEL_P,2,8.517505236700849
CUX_P,2,3.345061358868218
LET_P,2,7.9468634426419875
PEP_P,2,4.6000495384920885
TOM_P,2,8.157350043060386
CAUL_P,3,6.284565655163011
CEL_P,3,7.718723507786631
CUX_P,3,11.113833032954487
LET_P,3,4.90941188373988
PEP_P,3,11.083074557162924
TOM_P,3,6.680163006485179
CAUL_P,4,3.289180279837346
CEL_P,4,5.371576784365353
CUX_P,4,11.703966165879534
LET_P,4,12.567672076007607
PEP_P,4,7.869429649383898
TOM_P,4,10.687104781013513
