Prod,Scen,CostTransportation
CAUL_P,0,955375.3831404787
CEL_P,0,4266.594101418053
CUX_P,0,2206.0296807526197
LET_P,0,115.39260453569327
PEP_P,0,0
TOM_P,0,0
CAUL_P,1,592278.4113454164
CEL_P,1,2941.766122323486
CUX_P,1,2302.0086431549694
LET_P,1,1510.032379635041
PEP_P,1,0
TOM_P,1,0
CAUL_P,2,94427.8736742912
CEL_P,2,1511.3688429555632
CUX_P,2,2295.7667706002626
LET_P,2,1690.9701314602396
PEP_P,2,16.464177044309082
TOM_P,2,0
CAUL_P,3,987169.5800699644
CEL_P,3,1666.1141363192132
CUX_P,3,3325.832014344368
LET_P,3,1808.3390519604395
PEP_P,3,0
TOM_P,3,0
CAUL_P,4,1467098.5058223694
CEL_P,4,2270.9893210967684
CUX_P,4,2945.2216158605406
LET_P,4,605.5529655633856
PEP_P,4,0
TOM_P,4,0
