Prod,Scen,Income
CAUL_P,0,285691.4326935654
CEL_P,0,3552149.857661758
CUX_P,0,1173387.27749044
LET_P,0,32756.57192963887
PEP_P,0,0
TOM_P,0,0
CAUL_P,1,449372.6873627332
CEL_P,1,1296814.5042272836
CUX_P,1,897399.5965620897
LET_P,1,367411.03106254566
PEP_P,1,0
TOM_P,1,0
CAUL_P,2,964588.325390506
CEL_P,2,424553.1599738593
CUX_P,2,638791.2542589074
LET_P,2,380881.95457444084
PEP_P,2,6645.235660262723
TOM_P,2,0
CAUL_P,3,693678.1221069844
CEL_P,3,234420.90651781304
CUX_P,3,795912.1294218204
LET_P,3,367786.2207025497
PEP_P,3,0
TOM_P,3,0
CAUL_P,4,488871.19756728987
CEL_P,4,275872.24928530393
CUX_P,4,600573.5135083867
LET_P,4,107073.95050261234
PEP_P,4,0
TOM_P,4,0
