Loc,Crop,LandAllocated
Albuquerque,CAUL,0
Albuquerque,CEL,0
Albuquerque,CUX,0
Albuquerque,LET,60
Albuquerque,PEP,0
Albuquerque,TOM,0
Aspen,CAUL,0
Aspen,CEL,0
Aspen,CUX,0
Aspen,LET,7.818195608924523
Aspen,PEP,0
Aspen,TOM,2.181804391075478
Las_Cruces,CAUL,0
Las_Cruces,CEL,0
Las_Cruces,CUX,0
Las_Cruces,LET,30
Las_Cruces,PEP,0
Las_Cruces,TOM,0
Phoenix,CAUL,4.8553019460846425
Phoenix,CEL,25.491937282490664
Phoenix,CUX,0
Phoenix,LET,0
Phoenix,PEP,0
Phoenix,TOM,9.652760771424694
Tucson,CAUL,0
Tucson,CEL,0
Tucson,CUX,0
Tucson,LET,30
Tucson,PEP,0
Tucson,TOM,0
Yuma,CAUL,0
Yuma,CEL,30
Yuma,CUX,0
Yuma,LET,0
Yuma,PEP,0
Yuma,TOM,0
