Prod,Scen,CostLogistic
CAUL_P,0,5.151153818181818
CEL_P,0,6.6590225163636365
CUX_P,0,2.6899269818181817
LET_P,0,2.2268145454545456
PEP_P,0,11.950689444155845
TOM_P,0,5.306408618181818
CAUL_P,1,4.932042712727273
CEL_P,1,4.951219985454546
CUX_P,1,3.5345455272727277
LET_P,1,4.767811090909091
PEP_P,1,13.102930722077922
TOM_P,1,3.8130247636363634
CAUL_P,2,4.377633941818182
CEL_P,2,2.0717639272727277
CUX_P,2,7.600802763636364
LET_P,2,14.870968503896105
PEP_P,2,4.858597490909091
TOM_P,2,1.5215378763636362
CAUL_P,3,4.856217134109091
CEL_P,3,1.8708099362545456
CUX_P,3,5.7088263999999995
LET_P,3,15.240595329870128
PEP_P,3,6.2122313818181825
TOM_P,3,2.1133149818181822
CAUL_P,4,3.4014261818181817
CEL_P,4,3.3998961454545453
CUX_P,4,14.692930301298704
LET_P,4,7.109638690909091
PEP_P,4,2.6778220800000003
TOM_P,4,1.7098087272727271
