Prod,Scen,Income
CAUL_P,0,925381.2930821927
CEL_P,0,289814.9253480544
CUX_P,0,174151.8218248248
LET_P,0,0
PEP_P,0,0
TOM_P,0,0
CAUL_P,1,1375190.4790209916
CEL_P,1,302052.2743502096
CUX_P,1,261624.814300146
LET_P,1,0
PEP_P,1,0
TOM_P,1,0
CAUL_P,2,1235763.276754314
CEL_P,2,465064.2570705265
CUX_P,2,303144.49064629845
LET_P,2,0
PEP_P,2,0
TOM_P,2,0
CAUL_P,3,1413514.6001568774
CEL_P,3,292375.2473618368
CUX_P,3,257174.41617097118
LET_P,3,0
PEP_P,3,0
TOM_P,3,0
CAUL_P,4,1290163.7332736559
CEL_P,4,850551.5676695184
CUX_P,4,0
LET_P,4,0
PEP_P,4,0
TOM_P,4,0
