Prod,Scen,CostLogistic
CAUL_P,0,11.170625700340024
CEL_P,0,5.250289938805196
CUX_P,0,19.476654536
LET_P,0,14.826140266666666
PEP_P,0,5.9559897600000005
TOM_P,0,4.1831064
CAUL_P,1,12.201028469322313
CEL_P,1,5.607814326545455
CUX_P,1,4.64698176
LET_P,1,6.65587528
PEP_P,1,5.03842096
TOM_P,1,3.7013612
CAUL_P,2,13.082982350602126
CEL_P,2,7.347580434805195
CUX_P,2,29.062101188800003
LET_P,2,26.604554064533335
PEP_P,2,8.549485760000001
TOM_P,2,3.8521644800000003
CAUL_P,3,13.749825932262889
CEL_P,3,6.728475595058008
CUX_P,3,40.64929950639999
LET_P,3,11.876450997866668
PEP_P,3,6.727978720000001
TOM_P,3,3.887323360000001
CAUL_P,4,17.583405348453365
CEL_P,4,15.376260747012989
CUX_P,4,145.12245016000003
LET_P,4,88.70648848000002
PEP_P,4,57.88949704
TOM_P,4,55.29460194
