Prod,Scen,Income
CAUL_P,0,665647.8564973249
CEL_P,0,186758.75645532628
CUX_P,0,302881.95738662407
LET_P,0,150222.13478871796
PEP_P,0,0
TOM_P,0,0
CAUL_P,1,1009193.2944469857
CEL_P,1,196675.16797830575
CUX_P,1,377295.49549316906
LET_P,1,316333.7814051466
PEP_P,1,48108.26940121999
TOM_P,1,0
CAUL_P,2,896439.3336003581
CEL_P,2,322548.36071318446
CUX_P,2,382144.03374499
LET_P,2,287720.8516759727
PEP_P,2,0
TOM_P,2,0
CAUL_P,3,936985.9010154785
CEL_P,3,252915.81723661453
CUX_P,3,382621.604610674
LET_P,3,256834.60454885563
PEP_P,3,0
TOM_P,3,0
CAUL_P,4,975354.7061299563
CEL_P,4,498684.7065577302
CUX_P,4,352864.188981271
LET_P,4,60176.60067584153
PEP_P,4,0
TOM_P,4,0
