Crop,Loc,CostPlant
CAUL,Albuquerque,0
CAUL,Aspen,0
CAUL,Las_Cruces,0
CAUL,Phoenix,27030.58749353717
CAUL,Tucson,0
CAUL,Yuma,0
CEL,Albuquerque,0
CEL,Aspen,0
CEL,Las_Cruces,0
CEL,Phoenix,0
CEL,Tucson,0
CEL,Yuma,0
CUX,Albuquerque,0
CUX,Aspen,0
CUX,Las_Cruces,0
CUX,Phoenix,0
CUX,Tucson,0
CUX,Yuma,0
LET,Albuquerque,172440
LET,Aspen,28740
LET,Las_Cruces,86220
LET,Phoenix,58909.560998249755
LET,Tucson,86220
LET,Yuma,86220
PEP,Albuquerque,0
PEP,Aspen,0
PEP,Las_Cruces,0
PEP,Phoenix,0
PEP,Tucson,0
PEP,Yuma,0
TOM,Albuquerque,0
TOM,Aspen,0
TOM,Las_Cruces,0
TOM,Phoenix,0
TOM,Tucson,0
TOM,Yuma,0
