Loc,Crop,LandAllocated
Albuquerque,CAUL,0
Albuquerque,CEL,0
Albuquerque,CUX,0
Albuquerque,LET,60
Albuquerque,PEP,0
Albuquerque,TOM,0
Aspen,CAUL,0
Aspen,CEL,0
Aspen,CUX,0
Aspen,LET,10
Aspen,PEP,0
Aspen,TOM,0
Las_Cruces,CAUL,0
Las_Cruces,CEL,0
Las_Cruces,CUX,0
Las_Cruces,LET,30
Las_Cruces,PEP,0
Las_Cruces,TOM,0
Phoenix,CAUL,19.50258837917545
Phoenix,CEL,0
Phoenix,CUX,0
Phoenix,LET,20.49741162082455
Phoenix,PEP,0
Phoenix,TOM,0
Tucson,CAUL,0
Tucson,CEL,0
Tucson,CUX,0
Tucson,LET,30
Tucson,PEP,0
Tucson,TOM,0
Yuma,CAUL,0
Yuma,CEL,0
Yuma,CUX,0
Yuma,LET,30
Yuma,PEP,0
Yuma,TOM,0
